WE	L	LMW	LHE	AMW	AHE	LP	ANL	AS	LL	IA	G	STATUS
0.04	10.44	7.53	9.69	17.31	19.29	5.78	6.35	3.57	7.2	29.19	0	0
0.04	10.64	7.1	8.93	14.44	17.34	5.3	6.03	3.72	7.29	28.41	0	0
0.05	10.6	7.97	9.71	18.58	20.58	5.54	6.65	3.74	7.946	29.69	0	0
0.04	10.05	7.87	9.94	17.36	21.03	5.05	6.19	3.49	7.56	27.6	0	0
0.05	10.66	7.99	10.08	19.46	21.53	5.16	6.81	3.83	NA	31.76	0	0
0.04	10.39	7.51	9.57	16.89	19.15	5.23	6.5	3.69	7.4	30.03	0	0
0.04	10.91	8.06	9.81	18.2	19.96	5.56	6.3	3.68	7.61	29.95	0	0
NA	11.98	8.83	11.25	21.55	26.5	6.01	6.91	4.12	8.26	37.91	1	0
NA	10.27	8.17	10.1	18.98	21.57	5.09	5.84	3.72	8.69	30.4	0	0
0.04	10.6	7.76	9.74	13.97	19.51	5.3	6.46	3.28	7.02	25.11	0	1
0.04	10.64	8	9.38	14.88	18.25	5.64	6.48	3.6	7.37	28.75	0	1
0.04	10.67	7.63	9.65	14.5	18.4	5.1	5.97	3.65	7.35	29.71	0	1
0.04	10.45	8.17	9.27	16.22	18.38	5.638	6.5	3.76	6.95	29.58	0	1
0.04	10.33	7.52	9.07	15.75	17.84	5.43	6.16	3.39	5.95	27.05	0	1
0.06	11.55	8.01	10.57	15.98	23.41	5.746	7.06	4.05	6.178	36.1	1	1
0.04	10.85	7.68	9.17	17.33	18.22	5.43	6.49	3.64	5.61	28.32	0	1
0.05	11.29	8.34	10.26	17.02	22.39	6.07	6.36	3.86	6.127	34.53	1	1
0.06	11.9	8.55	11.17	17.03	25.42	5.496	6.5	3.94	7.68	37.61	1	1
0.06	10.06	7.61	9.67	15.41	19.42	5.56	6.23	3.56	6.92	29	1	1
0.05	11.54	8.67	11	21.96	24.22	6.014	5.97	4.11	6.99	38.31	1	1
0.04	10.03	7.83	9.57	17.01	19.27	5.21	5.71	3.61	6.79	28.55	0	1
0.06	11.04	8.65	10.77	19.72	24.59	5.89	6.42	4.17	7.71	38.07	1	1
0.04	9.98	7.5	9.83	15.25	19.88	5.28	6.45	3.48	7.42	26.47	0	1
0.05	11.08	8.49	10.14	18.8	21.6	5.37	6.71	3.9	8.27	31.32	0	1
0.05	10.69	7.93	9.51	18.81	20.6	5.27	6.25	3.58	6.155	30.96	0	1
0.04	10.44	7.46	9.2	15.2	17.66	4.78	6.12	3.73	6.053	30.38	0	1
0.07	11.28	8.8	10.91	21.41	25.4	5.9	6.99	4.2	7.3	36.89	1	1
0.05	10.85	7.65	9.54	18.17	18.87	4.8	6.31	3.55	6.682	31.71	0	1
0.07	12.14	9.52	11.58	23.61	27.73	5.55	6.94	4.29	7.64	42.67	1	1
0.08	12.12	8.82	11.63	21.31	26.95	5.91	6.39	4.54	6.582	41.88	1	1
0.06	11.9	8.68	11.11	21.09	25.58	6.1	6.93	4.18	7.54	42.33	1	1
0.05	11.21	7.97	9.38	17.83	19.16	5.16	6.11	4.03	5.935	34.86	0	1
0.04	11.06	7.89	10.14	17.62	21.53	5.01	6	3.78	6.82	31.25	0	1
0.05	11.53	8.63	10.8	20.69	22.49	5.63	6.49	3.92	8.71	37.18	0	1
0.05	12.15	7.88	10.08	18.93	20.55	4.82	6.54	4.05	8.25	35.8	0	1
0.07	12.61	9.33	11.29	22.99	26.19	5.88	7.28	4.38	7.66	43.63	1	1
0.06	12.04	8.41	10.71	18.33	22.65	6.11	5.96	4.2	7.65	38.67	1	1
0.04	11	8.5	9.86	20.37	20.92	4.81	6.57	3.7	7.56	33.96	0	1
0.04	10.58	7.75	9.65	17.17	20.08	4.92	6.07	3.38	7.65	29.73	0	1
0.06	12.1	9.38	11.52	23.47	27.49	5.8	6.86	4.23	7.56	42.75	1	1
0.08	12.36	8.25	10.06	18.08	20.69	5.8	6.88	3.95	11.45	37.97	1	1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
0.05	11.71	8.56	10.8	20.18	24.27	5.36	6.77	4.05	8.529	35.29	0	1
0.05	11.89	8.88	11.26	22.33	25.69	6.03	6.41	4.29	NA	38.59	1	1
0.05	11.07	7.97	10.23	17.1	20.93	5.51	6.15	3.72	7.71	33.19	1	1
0.04	11.13	8.38	9.63	17.54	19.11	5.18	6.47	3.81	7.87	33.44	1	1
0.03	10.13	8.16	9.9	18.02	21.23	4.73	6.12	3.72	6.75	28.19	0	1
0.07	11.68	7.86	9.85	17.92	19.99	6.02	6.114	3.92	NA	34.85	1	1
0.06	12.2	8.45	10.98	21.08	24.39	6.42	6.5	4.46	7.96	40.28	1	1
0.03	9.43	6.23	7.76	11.1	13.27	4.49	4.78	3.27	NA	25.05	0	1
0.07	12.31	8.07	11.12	20.13	26.1	5.72	6.35	4.42	7.59	41.92	1	1
0.04	10.27	6.62	8.49	12.93	15.61	4.026	6.36	3.72	6.61	28.97	0	1
0.05	11.74	8.53	10.22	20.03	22.91	5.27	6.28	4.18	7.5	39.9	1	1
0.05	10.48	7.87	9.87	18.14	20.74	5.44	6.29	3.96	7.62	32.1	0	1
0.04	10.13	7.56	9.85	18.73	20.41	5.55	6.35	3.61	5.86	28.48	0	1
0.04	10.57	8.09	10.51	19.02	22.91	5.73	6.26	3.79	6.89	31.13	0	1
0.03	10.05	7.55	9.1	16.59	18.02	5.14	6.88	3.26	7.47	25.37	0	1
0.04	10.46	7.95	10.01	17.34	19.65	5.43	6.44	3.56	7.45	30.33	0	1
0.03	10.6	8.57	10.5	20.85	23.29	5.63	6.74	3.78	8.02	32.9	0	1
0.04	10.51	8.62	10.62	21.9	24.2	5.56	6.6	3.76	7.74	33.01	0	1
0.03	9.81	7.4	8.98	15.99	17.38	4.7	5.76	3.51	7.13	26.92	0	1
0.03	9.84	7.51	9.14	15.8	15.91	4.926	5.77	3.39	5.53	26.56	0	1
0.06	11.94	8.6	10.57	22.24	24.78	6.84	6.41	4.44	7.78	40.66	1	1
0.06	11.81	8.82	11.21	22.36	26.97	6.67	6.6	4.07	7.55	38.11	1	1
0.04	10.51	8.23	9.97	19.22	22.47	6.73	6.11	3.86	NA	31.38	1	1
0.04	10.12	7.2	9.21	16.17	18.97	5.27	5.88	3.62	7.1	29.29	0	1
0.05	11.3	8.26	10.38	18.82	22.45	6.9	6.47	4	7.56	35.46	1	1
0.05	10.99	7.88	9.6	18.05	19.21	6.12	6.32	4.14	7.71	32.7	0	1
0.06	11.25	8.61	9.92	21.01	22.3	6.93	6.54	4.11	6.74	35.87	1	1
0.06	11.65	8.47	10.37	21.24	21.99	6.87	6.33	4.42	6.94	37.87	1	1
0.05	10.8	7.64	9.67	15.75	20.38	5.28	5.97	4.09	7.07	33.55	0	1
0.04	10.29	7.63	9.22	16.01	18.77	5.18	6.02	3.47	7.49	28.26	0	1
0.03	10.4	7.88	9.84	18.71	21.95	6.25	6.35	3.81	7.22	30.64	0	1
0.05	11.08	8.43	10.54	20.48	24.84	6.84	6.79	3.85	7.18	36.6	1	1
0.06	11.95	NA	NA	NA	NA	6.29	6.92	3.84	7.84	38.95	1	1
0.04	10.18	7.76	9.4	16.78	18.83	5.09	6.06	3.55	6.64	28.07	0	1
0.03	9.31	NA	NA	NA	NA	NA	NA	2.98	6.88	22.47	0	1
